LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FRA,LTINT,TOT,PC_PA,A,1999,4.608783,
FRA,LTINT,TOT,PC_PA,A,2000,5.394467,
FRA,LTINT,TOT,PC_PA,A,2001,4.939458,
FRA,LTINT,TOT,PC_PA,A,2002,4.861217,
FRA,LTINT,TOT,PC_PA,A,2003,4.130892,
FRA,LTINT,TOT,PC_PA,A,2004,4.099167,
FRA,LTINT,TOT,PC_PA,A,2005,3.409442,
FRA,LTINT,TOT,PC_PA,A,2006,3.795742,
FRA,LTINT,TOT,PC_PA,A,2007,4.3032,
FRA,LTINT,TOT,PC_PA,A,2008,4.234325,
FRA,LTINT,TOT,PC_PA,A,2009,3.648817,
FRA,LTINT,TOT,PC_PA,A,2010,3.117017,
FRA,LTINT,TOT,PC_PA,A,2011,3.321058,
FRA,LTINT,TOT,PC_PA,A,2012,2.535992,
FRA,LTINT,TOT,PC_PA,A,2013,2.20435,
FRA,LTINT,TOT,PC_PA,A,2014,1.666442,
FRA,LTINT,TOT,PC_PA,A,2015,0.8418583,
FRA,LTINT,TOT,PC_PA,A,2016,0.4678833,
FRA,LTINT,TOT,PC_PA,A,2017,0.8098583,
FRA,LTINT,TOT,PC_PA,A,2018,0.7841083,
FRA,LTINT,TOT,PC_PA,A,2019,0.1302,
FRA,LTINT,TOT,PC_PA,A,2020,-0.1452667,
