LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FRA,LTINT,TOT,PC_PA,Q,1998-Q4,4.0858,
FRA,LTINT,TOT,PC_PA,Q,1999-Q1,3.944167,
FRA,LTINT,TOT,PC_PA,Q,1999-Q2,4.203567,
FRA,LTINT,TOT,PC_PA,Q,1999-Q3,5.004567,
FRA,LTINT,TOT,PC_PA,Q,1999-Q4,5.282833,
FRA,LTINT,TOT,PC_PA,Q,2000-Q1,5.570967,
FRA,LTINT,TOT,PC_PA,Q,2000-Q2,5.3864,
FRA,LTINT,TOT,PC_PA,Q,2000-Q3,5.3928,
FRA,LTINT,TOT,PC_PA,Q,2000-Q4,5.2277,
FRA,LTINT,TOT,PC_PA,Q,2001-Q1,4.903067,
FRA,LTINT,TOT,PC_PA,Q,2001-Q2,5.118967,
FRA,LTINT,TOT,PC_PA,Q,2001-Q3,5.0156,
FRA,LTINT,TOT,PC_PA,Q,2001-Q4,4.7202,
FRA,LTINT,TOT,PC_PA,Q,2002-Q1,5.0546,
FRA,LTINT,TOT,PC_PA,Q,2002-Q2,5.203367,
FRA,LTINT,TOT,PC_PA,Q,2002-Q3,4.696933,
FRA,LTINT,TOT,PC_PA,Q,2002-Q4,4.489967,
FRA,LTINT,TOT,PC_PA,Q,2003-Q1,4.1114,
FRA,LTINT,TOT,PC_PA,Q,2003-Q2,3.936033,
FRA,LTINT,TOT,PC_PA,Q,2003-Q3,4.133733,
FRA,LTINT,TOT,PC_PA,Q,2003-Q4,4.3424,
FRA,LTINT,TOT,PC_PA,Q,2004-Q1,4.1059,
FRA,LTINT,TOT,PC_PA,Q,2004-Q2,4.3066,
FRA,LTINT,TOT,PC_PA,Q,2004-Q3,4.1589,
FRA,LTINT,TOT,PC_PA,Q,2004-Q4,3.825267,
FRA,LTINT,TOT,PC_PA,Q,2005-Q1,3.641933,
FRA,LTINT,TOT,PC_PA,Q,2005-Q2,3.373767,
FRA,LTINT,TOT,PC_PA,Q,2005-Q3,3.2335,
FRA,LTINT,TOT,PC_PA,Q,2005-Q4,3.388567,
FRA,LTINT,TOT,PC_PA,Q,2006-Q1,3.5125,
FRA,LTINT,TOT,PC_PA,Q,2006-Q2,3.987033,
FRA,LTINT,TOT,PC_PA,Q,2006-Q3,3.897367,
FRA,LTINT,TOT,PC_PA,Q,2006-Q4,3.786067,
FRA,LTINT,TOT,PC_PA,Q,2007-Q1,4.054067,
FRA,LTINT,TOT,PC_PA,Q,2007-Q2,4.3879,
FRA,LTINT,TOT,PC_PA,Q,2007-Q3,4.442833,
FRA,LTINT,TOT,PC_PA,Q,2007-Q4,4.328,
FRA,LTINT,TOT,PC_PA,Q,2008-Q1,4.082867,
FRA,LTINT,TOT,PC_PA,Q,2008-Q2,4.469833,
FRA,LTINT,TOT,PC_PA,Q,2008-Q3,4.484667,
FRA,LTINT,TOT,PC_PA,Q,2008-Q4,3.899933,
FRA,LTINT,TOT,PC_PA,Q,2009-Q1,3.642367,
FRA,LTINT,TOT,PC_PA,Q,2009-Q2,3.787767,
FRA,LTINT,TOT,PC_PA,Q,2009-Q3,3.635733,
FRA,LTINT,TOT,PC_PA,Q,2009-Q4,3.5294,
FRA,LTINT,TOT,PC_PA,Q,2010-Q1,3.483733,
FRA,LTINT,TOT,PC_PA,Q,2010-Q2,3.1835,
FRA,LTINT,TOT,PC_PA,Q,2010-Q3,2.7816,
