DATE,FRAB6BLTT02STSAQ
01/01/1999,4.384390349
01/04/1999,4.847955894
01/07/1999,2.229564891
01/10/1999,2.215048092
01/01/2000,1.584997466
01/04/2000,1.932698346
01/07/2000,0.316091217
01/10/2000,0.590008019
01/01/2001,1.777226638
01/04/2001,1.212535376
01/07/2001,1.389672349
01/10/2001,1.913447067
01/01/2002,1.490877385
01/04/2002,1.198625733
01/07/2002,0.812393269
01/10/2002,1.095050951
01/01/2003,0.902304023
01/04/2003,0.385807157
01/07/2003,0.765665735
01/10/2003,1.277641332
01/01/2004,1.180701724
01/04/2004,0.477401352
01/07/2004,0.355727627
01/10/2004,0.134840522
01/01/2005,0.278826113
01/04/2005,-0.139066499
01/07/2005,0.345571746
01/10/2005,-0.065663035
01/01/2006,0.140807754
01/04/2006,-0.313695762
01/07/2006,0.56707382
01/10/2006,0.605983425
01/01/2007,0.630823749
01/04/2007,-0.16528361
01/07/2007,-0.343762271
01/10/2007,-0.508423204
01/01/2008,-0.681947345
01/04/2008,-1.017691486
01/07/2008,-0.717106995
01/10/2008,-0.366577913
01/01/2009,-0.933362089
01/04/2009,-1.053677771
01/07/2009,-0.155124708
01/10/2009,-0.060593036
01/01/2010,-1.032745379
01/04/2010,-1.185821384
01/07/2010,-0.446788864
01/10/2010,0.128662287
01/01/2011,-1.641204631
01/04/2011,-1.849121078
01/07/2011,-0.633315554
01/10/2011,0.664388903
01/01/2012,-0.964365105
01/04/2012,-1.600251138
01/07/2012,-0.900600028
01/10/2012,-0.396427245
01/01/2013,-0.213486996
01/04/2013,-0.573662054
01/07/2013,-1.134343708
01/10/2013,-0.116798269
01/01/2014,-0.789190492
01/04/2014,-2.064241571
01/07/2014,-0.718016547
01/10/2014,-0.258760859
01/01/2015,0.138629317
01/04/2015,-0.085932099
01/07/2015,-0.426537502
01/10/2015,-1.090656543
01/01/2016,-0.681937507
01/04/2016,-0.370201874
01/07/2016,-0.618165124
01/10/2016,-0.277724292
01/01/2017,-1.69373388
01/04/2017,-0.755195952
01/07/2017,-0.025264581
01/10/2017,-0.607725593
01/01/2018,-1.380852322
01/04/2018,-0.489796611
01/07/2018,0.205854332
01/10/2018,-0.581842943
01/01/2019,-1.609799097
01/04/2019,1.355300146
01/07/2019,-1.109137335
01/10/2019,-1.301966181
01/01/2020,-2.607824764
01/04/2020,-0.878131763
01/07/2020,-2.930650288
