DATE,FRAGFCFQDSMEI
01/01/1999,70478000000
01/04/1999,72075000000
01/07/1999,73845000000
01/10/1999,74774000000
01/01/2000,76970000000
01/04/2000,78600000000
01/07/2000,80714000000
01/10/2000,82060000000
01/01/2001,82467000000
01/04/2001,82632000000
01/07/2001,83310000000
01/10/2001,82894000000
01/01/2002,82625000000
01/04/2002,82682000000
01/07/2002,83542000000
01/10/2002,84117000000
01/01/2003,84730000000
01/04/2003,85027000000
01/07/2003,86474000000
01/10/2003,87009000000
01/01/2004,88890000000
01/04/2004,90435000000
01/07/2004,91196000000
01/10/2004,92734000000
01/01/2005,93764000000
01/04/2005,95310000000
01/07/2005,96752000000
01/10/2005,98537000000
01/01/2006,1.00428E+11
01/04/2006,1.03263E+11
01/07/2006,1.04645E+11
01/10/2006,1.07074E+11
01/01/2007,1.09163E+11
01/04/2007,1.11688E+11
01/07/2007,1.13982E+11
01/10/2007,1.15657E+11
01/01/2008,1.18276E+11
01/04/2008,1.19017E+11
01/07/2008,1.18548E+11
01/10/2008,1.13934E+11
01/01/2009,1.08793E+11
01/04/2009,1.06466E+11
01/07/2009,1.05505E+11
01/10/2009,1.06705E+11
01/01/2010,1.076E+11
01/04/2010,1.09348E+11
01/07/2010,1.10992E+11
01/10/2010,1.1233E+11
01/01/2011,1.13312E+11
01/04/2011,1.14766E+11
01/07/2011,1.15532E+11
01/10/2011,1.1755E+11
01/01/2012,1.17693E+11
01/04/2012,1.17224E+11
01/07/2012,1.17272E+11
01/10/2012,1.1713E+11
01/01/2013,1.16349E+11
01/04/2013,1.16589E+11
01/07/2013,1.16656E+11
01/10/2013,1.17668E+11
01/01/2014,1.17833E+11
01/04/2014,1.17277E+11
01/07/2014,1.17483E+11
01/10/2014,1.16961E+11
01/01/2015,1.1775E+11
01/04/2015,1.1679E+11
01/07/2015,1.18151E+11
01/10/2015,1.19934E+11
01/01/2016,1.21077E+11
01/04/2016,1.2094E+11
01/07/2016,1.21575E+11
01/10/2016,1.23171E+11
01/01/2017,1.26956E+11
01/04/2017,1.28451E+11
01/07/2017,1.30098E+11
01/10/2017,1.3179E+11
01/01/2018,1.3247E+11
01/04/2018,1.34223E+11
01/07/2018,1.36528E+11
01/10/2018,1.38123E+11
01/01/2019,1.40292E+11
01/04/2019,1.43004E+11
01/07/2019,1.4497E+11
01/10/2019,1.45772E+11
01/01/2020,1.31148E+11
01/04/2020,1.11945E+11
01/07/2020,1.38276E+11
01/10/2020,1.40339E+11
